"","exptID","shellID","taxon","source","pocket","dateM1","dateM2","mass1","mass2","shape","xDim","yDim","zDim","thick","polymorph","waxYN","cMass","pMass","cSize","finalSA","volume","densityMV","cTime1","cTime2","cDuration","rootMass","deviation","deviationStan","poros","massSA","cTotal","percentTotal","SATotal","percentSATotal","perMassSA"
"47","T1.1","1.1.10.5","Notocochlis","E18",10,"9/4/2023 14:32","9/6/2023 14:32",63.4,55.64,"sphere",5.87,4.3,5.12,0.23,"Aragonite","No Wax",7.76,0.122397476340694,5.05582662440254,122.40906852,67.66672228,0.936945043,NA,NA,NA,3.98746073276911,0.544724458532488,0.107741918186694,0.668924013159343,0.0633939959990147,495.49,1.56612646067529,10803.002698345,1.13310226737935,1.38215808560461
"48","T1.1","1.1.11.1","Fustiaria","E18",9,"9/4/2023 14:32","9/6/2023 14:32",96.72,84.27,"2cone",3.4,3.4,15.59,0.2,"Aragonite","No Wax",12.45,0.128722084367246,5.64851972602622,185.668775,47.18159039,2.049952094,NA,NA,NA,4.59027561343092,4.81283990867541,0.852053306373292,0.275635302610034,0.0670548938560078,495.49,2.51266423136693,10803.002698345,1.71867748425578,1.4619754167868
"49","T1.1","1.1.11.2","Fustiaria","E18",2,"9/4/2023 14:32","9/6/2023 14:32",130.35,116.04,"2cone",3.38,3.38,23.19,0.18,"Aragonite","No Wax",14.31,0.109781357882624,6.42260751408851,264.8433802,69.35899247,1.879352559,NA,NA,NA,5.07033917333822,7.6175358380295,1.18605034190861,0.335917823614572,0.0540319338515979,495.49,2.88805021292054,10803.002698345,2.45157191565428,1.17804017678583
"50","T1.1","1.1.11.3","Fustiaria","E18",2,"9/4/2023 14:32","9/6/2023 14:32",36.17,28.76,"2cone",2.35,2.35,20.26,0.14,"Aragonite","No Wax",7.41,0.204865910975947,4.81864636609598,158.5004292,29.29164703,1.234823018,NA,NA,NA,3.30711656715183,6.79288212203199,1.40970754148442,0.563666777944402,0.0467506620480495,495.49,1.49548931360875,10803.002698345,1.4671886476922,1.01928904368301
"51","T1.1","1.1.11.4","Fustiaria","E18",7,"9/4/2023 14:32","9/6/2023 14:32",260.29,245.38,"2cone",3.48,3.48,30.67,0.48,"Aragonite","No Wax",14.91,0.0572822620922818,7.18826514369829,354.8693636,97.23909104,2.676804125,NA,NA,NA,6.38487639951105,10.2994217145661,1.43281049163792,0.054132818047084,0.0420154612636728,495.49,3.00914246503462,10803.002698345,3.28491414386451,0.916049045194994
"52","T1.1","1.1.11.5","Fustiaria","E18",1,"9/4/2023 14:32","9/6/2023 14:32",116.9,103.59,"2cone",3.06,3.06,21.35,0.23,"Aragonite","No Wax",13.31,0.113857998289136,5.84718602335919,220.4780423,52.33706436,2.233598721,NA,NA,NA,4.88957940965741,7.02572867445306,1.20155723563192,0.210742501517339,0.06036882340369,495.49,2.68622979273043,10803.002698345,2.04089592918251,1.31620125961367
"53","T1.2","1.2.1.1","Marginopora","E17",7,"8/21/2023 15:03","8/23/2023 15:02",62.87,56.23,"cylinder1",7.52,7.68,1.07,1.07,"Calcite","No Wax",6.64,0.105614760617147,3.95355343324276,116.2665742,48.53474137,1.295360771,NA,NA,NA,3.97631840554313,3.39214885558575,0.858000002494833,0.522183411666314,0.0571101371627066,497.58,1.33445878049761,10434.608020725,1.11423997881927,1.19764036999615
"54","T1.2","1.2.1.2","Marginopora","E17",11,"8/21/2023 15:03","8/23/2023 15:02",22.71,18.81,"cylinder1",6.13,5.99,0.59,0.59,"Calcite","No Wax",3.9,0.171730515191546,2.78770257464574,68.91004946,17.01489173,1.334713165,NA,NA,NA,2.83186390549034,2.91409914178475,1.0453407649326,0.507667589300381,0.0565955188040291,497.58,0.783793560834439,10434.608020725,0.660399023357009,1.18684845542348
"55","T1.2","1.2.1.3","Marginopora","E17",4,"8/21/2023 15:03","8/23/2023 15:02",95.29,84.99,"cylinder1",10.86,11,0.76,0.76,"Calcite","No Wax",10.3,0.108091090355756,4.49447222483756,213.7439111,71.3059851,1.336353461,NA,NA,NA,4.56754087253278,5.53517592505415,1.23155192604493,0.507062537328319,0.0481885072046855,497.58,2.07001889143455,10434.608020725,2.04841342075779,1.01054741706816
"56","T1.2","1.2.1.4","Marginopora","E17",2,"8/21/2023 15:03","8/23/2023 15:02",40.24,35.75,"cylinder1",7.47,7.38,0.7,0.7,"Calcite","No Wax",4.49,0.111580516898608,3.3792864056144,102.9242302,30.30853083,1.327679003,NA,NA,NA,3.42677816275029,3.5902378647952,1.0624248536112,0.510262263676656,0.0436243243332997,497.58,0.902367458499136,10434.608020725,0.986373709444323,0.914833242065513
"57","T1.2","1.2.1.5","Marginopora","E17",10,"8/21/2023 15:03","8/23/2023 15:02",25.81,22.38,"cylinder1",6.96,7.05,0.47,0.47,"Calcite","No Wax",3.43,0.132894227043781,2.84641840023671,87.41905674,18.11282103,1.424957491,NA,NA,NA,2.95526208186045,3.5645271999211,1.25228504692939,0.474379383822688,0.0392362961568144,497.58,0.689336388118494,10434.608020725,0.837779977612672,0.822813156841989
"58","T1.2","1.2.2.1","Turbo","E02",9,"8/21/2023 15:03","8/23/2023 15:02",153.16,148.05,"hemisphere",6.99,6.35,2.64,2.64,"Aragonite","No Wax",5.10999999999999,0.0333638025594149,4.89348516400271,91.61779532,55.65070319,2.752166481,NA,NA,NA,5.35034498605132,1.93550494533243,0.395526885331201,0.0275030100162121,0.0557751906401144,497.58,1.02697053740102,10434.608020725,0.878018562250069,1.16964558786688
"59","T1.2","1.2.2.2","Turbo","E02",4,"8/21/2023 15:03","8/23/2023 15:02",150.6,146.87,"hemisphere",6.37,6.23,2.91,2.91,"Aragonite","No Wax",3.72999999999999,0.0247675962815404,4.8697517536673,88.94053006,58.25293034,2.58527767,NA,NA,NA,5.3203678114553,1.60674941544423,0.329944830192674,0.0864743216764979,0.0419381354876534,497.58,0.749628200490371,10434.608020725,0.85236100755628,0.879472657529885
"60","T1.2","1.2.2.3","Turbo","E02",2,"8/21/2023 15:03","8/23/2023 15:02",245.1,240.02,"hemisphere",8.38,7.46,3.32,3.32,"Aragonite","No Wax",5.07999999999998,0.0207262341901264,5.92070800516902,132.8259091,100.6651214,2.434805587,NA,NA,NA,6.2581759665742,2.19976399827699,0.371537322285867,0.139644668907238,0.0382455503931498,497.58,1.02094135616383,10434.608020725,1.27293626014685,0.802036510489576
"61","T1.2","1.2.2.4","Turbo","E02",10,"8/21/2023 15:03","8/23/2023 15:02",173.85,169.72,"hemisphere",7.67,6.65,2.77,2.77,"Aragonite","No Wax",4.13,0.0237561115904515,5.20833518990156,104.2243783,66.61111534,2.609924772,NA,NA,NA,5.58116546614557,2.11388827003281,0.405866403170716,0.0777650983202944,0.0396260459152098,497.58,0.830017283652879,10434.608020725,0.998833670541258,0.830986487673269
