"","exptID","taxon","shellID","source","pocket","dateM1","dateM2","mass1","mass2","shape","xDim","yDim","zDim","calcX1","calcX2","polymorph","mag","notes","exclude","cMass","pMass","cTime1","cTime2","cDuration","cSize","finalSA","calcX","massSA","volume","densityMV","rootMass","deviation","deviationStan","poros","tFont","tPoint","tAbrev","tColor","tLine","cTotal","percentTotal","SATotal","percentSATotal","perMassSA"
"48",1.2,"Centrostephanus","1.2.3.1",NA,NA,NA,NA,296.84,272.77,NA,73.19,2.8,2.83,NA,NA,"Calcite",0.08,"",0,24.07,0.081087454520954,NA,NA,NA,8.3393475020843,650.832458797279,NA,0.0369834043687383,151.832534157488,1.95504870973241,6.67074195274334,25.2997825006948,3.03378441711074,0.278845920423306,3,"C","Centr","#00FF40",4,632.63,3.80475159255805,16287.003701304,3.99602327557137,0.952134492263194
"49",1.2,"Aragonite","1.2.1.6",NA,NA,NA,NA,1419.55,1402.66,NA,8.41,6.33,9.66,NA,NA,"Aragonite",NA,"",0,16.8899999999999,0.0118981367334718,NA,NA,NA,8.01171719462354,391.2474,NA,0.0431696159514411,514.252998,2.76041171470234,11.238721206406,1.24276093512549,0.155117923528239,0.0245895001051797,3,"A","Arago","#FFBF00",2,632.63,2.66980699619049,16287.003701304,2.40220612198102,1.11139796529566
"50",1.2,"Anadara","1.2.6.1",NA,NA,NA,NA,576.05,563.12,NA,9.31,8.98,2.42,11.627,10.668,"Mixed",NA,"calcx is x",0,12.9299999999999,0.0224459682319242,NA,NA,NA,5.87057257256226,281.12545,11.1475,0.0459937013884725,202.321196,2.84720539117414,8.32057603568428,3.33314247581258,0.567771275222956,-0.00607964352443124,1,"A","Anada","#FF0000",1,632.63,2.04384869512984,16287.003701304,1.72607224235782,1.18410379645404
"51",1.2,"Centrostephanus","1.2.3.6",NA,NA,NA,NA,274.47,248.17,NA,73.33,3.1,3.1,NA,NA,"Calcite",0.08,"",0,26.3,0.0958210369074946,NA,NA,NA,8.89887331611332,714.315786659813,NA,0.0368184498945215,184.490368921265,1.4877199368447,6.49877689017653,25.3429577720378,2.84788386931511,0.45122835232582,3,"C","Centr","#00FF40",4,632.63,4.15724831259978,16287.003701304,4.38580232288289,0.947887753834544
"52",1.2,"Aragonite","1.2.1.4",NA,NA,NA,NA,1634.14,1591.8,NA,15.19,8.21,4.94,NA,NA,"Aragonite",NA,"bad measure",0,42.3400000000001,0.0259096527837273,NA,NA,NA,8.5089497705841,480.6118,NA,0.0880960475793564,616.066906,2.65253657368182,11.7786744962863,3.5163165901947,0.413249188795402,0.0627079244940565,3,"A","Arago","#FFBF00",2,632.63,6.69269557245153,16287.003701304,2.95089145194656,2.26802499564553
"53",1.2,"Aragonite","1.2.1.1",NA,NA,NA,NA,1809.25,1784.48,NA,10.72,8.62,7.83,NA,NA,"Aragonite",NA,"",0,24.77,0.0136907558380544,NA,NA,NA,8.97748326884834,487.6772,NA,0.0507917942442254,723.542112,2.50054553839155,12.1852055728981,1.08249442294945,0.120578829336912,0.116415004101925,3,"A","Arago","#FFBF00",2,632.63,3.91540078718999,16287.003701304,2.99427205239079,1.30763027496573
"54",1.2,"Saccostrea","1.2.5.1",NA,NA,NA,NA,457.93,430.02,NA,11.5,10.1,2.71,NA,NA,"Calcite",0,"corner flaking",0,27.91,0.060948179852816,NA,NA,NA,6.80241047760804,349.372,NA,0.0798861958027547,314.7665,1.45482444923459,7.70784605311912,4.02919650746399,0.592318931756202,0.463362431119664,3,"S","Sacco","#FF00BF",8,632.63,4.41174146025323,16287.003701304,2.14509682939427,2.05666308382872
"55",1.2,"Calcite","1.2.2.4",NA,NA,NA,NA,768.68,761.04,NA,8.97,6.34,5.35,NA,NA,"Calcite",0.01,"",0,7.63999999999999,0.00993911640734764,NA,NA,NA,6.72581877143323,277.5566,NA,0.0275259172363402,304.25343,2.52644645616649,9.16041594063529,1.33527292381108,0.198529423582214,0.0680758184557386,3,"C","Calci","#80FF00",3,632.63,1.20765692426853,16287.003701304,1.70415998602479,0.708652317958461
"56",1.2,"Aragonite","1.2.1.2",NA,NA,NA,NA,1608.59,1587.62,NA,10.19,5.68,10.8,NA,NA,"Aragonite",NA,"",0,20.97,0.0130362615706924,NA,NA,NA,8.55031454675361,458.5504,NA,0.0457310690384307,625.09536,2.57335136834162,11.716964699883,2.25322848441546,0.263525800377832,0.0906885624234545,3,"A","Arago","#FFBF00",2,632.63,3.31473373061663,16287.003701304,2.81543743962732,1.17734234970442
"57",1.2,"Pecten","1.2.4.3",NA,NA,NA,NA,937.62,908.66,NA,22.97,19.62,0.93,25.944,26.677,"Calcite",0.01,"",0,28.96,0.0308867131673813,NA,NA,NA,7.48366460648706,1117.85475,26.3105,0.0259067647205507,480.0771693,1.95306100760247,9.78758667098815,12.5056117978376,1.67105455086769,0.279579119290863,3,"P","Pecte","#8000FF",7,632.63,4.57771525220113,16287.003701304,6.86347698140757,0.66696737886667
